GEO.display-label Geography,Zip, HC03_EST_VC02 Median income (dollars); Estimate; Households 
ZCTA5,01583," $73,463.00 "
ZCTA5,01585," $66,317.00 "
ZCTA5,01588," $66,607.00 "
ZCTA5,01590," $101,315.00 "
ZCTA5,01602," $64,808.00 "
ZCTA5,01603," $42,259.00 "
ZCTA5,01604," $50,487.00 "
ZCTA5,01605," $37,703.00 "
ZCTA5,01606," $65,135.00 "
ZCTA5,01607," $43,500.00 "
ZCTA5,01608," $20,578.00 "
ZCTA5,01609," $42,903.00 "
ZCTA5,01610," $31,003.00 "
ZCTA5,01611," $81,830.00 "
ZCTA5,01612," $95,595.00 "
ZCTA5,01701," $105,940.00 "
ZCTA5,01702," $52,746.00 "
ZCTA5,01718," $160,750.00 "
ZCTA5,01719," $101,077.00 "
ZCTA5,01720," $133,075.00 "
ZCTA5,01721," $120,309.00 "
ZCTA5,01730," $125,208.00 "
ZCTA5,01731," $93,276.00 "
ZCTA5,01740," $151,618.00 "
ZCTA5,01741," $170,703.00 "
ZCTA5,01742," $137,547.00 "
ZCTA5,01745," $123,992.00 "
ZCTA5,01746," $118,933.00 "
ZCTA5,01747," $101,761.00 "
ZCTA5,01748," $151,357.00 "
ZCTA5,01749," $83,765.00 "
ZCTA5,01752," $75,418.00 "
ZCTA5,01754," $95,833.00 "
ZCTA5,01756," $125,816.00 "
ZCTA5,01757," $75,976.00 "
ZCTA5,01760," $106,332.00 "
ZCTA5,01770," $170,872.00 "
ZCTA5,01772," $143,375.00 "
ZCTA5,01773," $153,500.00 "
ZCTA5,01775," $144,766.00 "
ZCTA5,01776," $170,945.00 "
ZCTA5,01778," $166,548.00 "
ZCTA5,01801," $84,857.00 "
ZCTA5,01803," $99,254.00 "
ZCTA5,01810," $143,292.00 "
ZCTA5,01821," $99,881.00 "
ZCTA5,01824," $115,533.00 "
ZCTA5,01826," $86,644.00 "
ZCTA5,01827," $138,700.00 "
ZCTA5,01830," $61,375.00 "
ZCTA5,01832," $64,238.00 "
ZCTA5,01833," $113,417.00 "
ZCTA5,01834," $95,031.00 "
ZCTA5,01835," $77,697.00 "
ZCTA5,01840," $20,596.00 "
ZCTA5,01841," $38,199.00 "
ZCTA5,01843," $46,629.00 "
ZCTA5,01844," $73,525.00 "
ZCTA5,01845," $105,661.00 "
ZCTA5,01850," $46,102.00 "
ZCTA5,01851," $52,008.00 "
ZCTA5,01852," $50,911.00 "
ZCTA5,01854," $40,982.00 "
ZCTA5,01860," $84,417.00 "
ZCTA5,01862," $93,494.00 "
ZCTA5,01863," $77,055.00 "
ZCTA5,01864," $124,750.00 "
ZCTA5,01867," $113,553.00 "
ZCTA5,01876," $94,817.00 "
ZCTA5,01879," $101,620.00 "
ZCTA5,01880," $93,337.00 "
ZCTA5,01886," $138,006.00 "
ZCTA5,01887," $118,549.00 "
ZCTA5,01890," $152,196.00 "
ZCTA5,01901," $22,057.00 "
ZCTA5,01902," $42,851.00 "
ZCTA5,01904," $88,395.00 "
ZCTA5,01905," $57,638.00 "
ZCTA5,01906," $82,188.00 "
ZCTA5,01907," $105,029.00 "
ZCTA5,01908," $81,384.00 "
ZCTA5,01913," $78,638.00 "
ZCTA5,01915," $77,893.00 "
ZCTA5,01921," $155,034.00 "
ZCTA5,01922," $87,986.00 "
ZCTA5,01923," $79,795.00 "
ZCTA5,01929," $109,327.00 "
ZCTA5,01930," $65,348.00 "
ZCTA5,01937,
ZCTA5,01938," $80,829.00 "
ZCTA5,01940," $113,509.00 "
ZCTA5,01944," $105,500.00 "
ZCTA5,01945," $110,025.00 "
ZCTA5,01949," $107,727.00 "
ZCTA5,01950," $89,887.00 "
ZCTA5,01951," $90,662.00 "
ZCTA5,01952," $72,900.00 "
ZCTA5,01960," $65,060.00 "
ZCTA5,01966," $72,015.00 "
ZCTA5,01969," $89,338.00 "
ZCTA5,01970," $65,476.00 "
ZCTA5,01982," $112,250.00 "
ZCTA5,01983," $131,387.00 "
ZCTA5,01984," $96,979.00 "
ZCTA5,01985," $135,882.00 "
