LEAID,LEA_NAME,LEA_TYPE_TEXT,STABR,STATENAME,LCITY,LSTATE,LZIP,GSLO,GSHI,AGCHRT,SCH,TOTTCH,TOTGUI,MEMBER,AM,AS,HI,BL,WH,HP,TR
3703360,Newton Conover City Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Newton,NC,28658,PK,13,3,7,211,10,3159,4,189,787,389,1589,1,200
3704950,Wilkes County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,North Wilkesboro,NC,28659,PK,13,3,22,635,27,10012,25,47,1385,383,7803,2,367
3700120,Alleghany County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Sparta,NC,28675,PK,12,3,4,122,4,1492,6,4,328,11,1116,0,27
3700041,Bridges Academy,Independent Charter District,NC,NORTH CAROLINA,State Road,NC,28676,KG,8,1,1,9,0,175,0,0,9,8,154,0,4
3700086,American Renaissance School,Independent Charter District,NC,NORTH CAROLINA,Statesville,NC,28677,KG,8,1,1,37,0,542,0,9,29,43,430,0,31
3700106,Success Charter School,Independent Charter District,NC,NORTH CAROLINA,Statesville,NC,28677,KG,8,1,1,2,0,88,0,0,3,75,6,0,4
3702310,Iredell-Statesville Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Statesville,NC,28677,PK,13,3,36,1227,58,20915,33,568,2586,3020,14074,19,615
3700090,Alexander County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Taylorsville,NC,28681,PK,12,3,11,318,14,5084,4,95,471,209,4104,3,198
3703000,Mitchell County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Bakersville,NC,28705,KG,13,3,7,142,5,1896,2,14,163,5,1690,1,21
3700068,Brevard Academy,Independent Charter District,NC,NORTH CAROLINA,Brevard,NC,28712,KG,8,1,1,24,0,294,1,3,9,8,262,7,4
3704530,Transylvania County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Brevard,NC,28712,PK,12,3,9,273,9,3488,11,20,233,173,2859,9,183
3700129,Mountain Discovery Charter School,Independent Charter District,NC,NORTH CAROLINA,Bryson City,NC,28713,KG,8,1,1,15,0,186,12,4,6,2,153,0,9
3704440,Swain County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Bryson City,NC,28713,PK,12,3,5,140,6,2039,476,11,100,16,1345,1,90
3705070,Yancey County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Burnsville,NC,28714,KG,12,3,9,170,7,2206,7,2,281,15,1875,0,26
